stop_id,stop_name,stop_lat,stop_lon
330,Rondo Maczka,53.1378296127583,17.963800187957
331,Grunwaldzka - Kraszewskiego,53.1329442077594,17.970027805754
332,Grunwaldzka - Kanałowa,53.129387193052,17.9792165312098
333,Rondo Grunwaldzkie,53.1255807563194,17.9882818034614
334,Plac Poznański,53.1222502015178,17.989485686991
335,Rondo Grunwaldzkie,53.1258921126783,17.984476216184
336,Nakielska - Wrzesińska,53.1270350776532,17.9704273628554
338,Rondo Maczka,53.136746870252,17.9621405138521
339,Grunwaldzka - Flisacka,53.1371511204623,17.9574578887647
340,Grunwaldzka - Filtrowa,53.1398359697414,17.9478321423684
342,Grunwaldzka - Przejście,53.1454201490089,17.9281729490296
343,Kolbego - Grunwaldzka,53.148275090539,17.9199462050445
344,Kolbego - Kogucia,53.1547764316973,17.9170217080843
345,Kolbego - Wielorybia,53.158578673466,17.9123125817649
346,Rekinowa,53.1600248799809,17.9087000702336
347,Kolbego - Wielorybia,53.1578315873608,17.9134438843618
348,Kolbego - Kogucia,53.1549158537155,17.9168366881479
349,Grunwaldzka - Kolbego,53.1479421865517,17.9192206052911
350,Ostromecko Wybudowanie,53.1393574990811,18.2012424370624
351,Nakielska - Lisia,53.134593546983,17.9076237444326
352,Nakielska - Tarnowska,53.1339138800002,17.9159213272178
353,Nakielska - Żywiecka,53.1327390540643,17.9264128908827
354,Nakielska - Wiśniowa,53.1321873633705,17.9353017141655
355,Nakielska - Pijarów,53.1319759576039,17.9413129288403
356,Nakielska - Widok,53.1308328598675,17.9486208815359
357,Nakielska - Wrzesinska,53.1271666491117,17.969479617777
358,Rondo Grunwaldzkie,53.1244965102484,17.9859790534943
359,Plac Poznański,53.1216252496022,17.9882314574296
360,Nowy Rynek,53.1201038438713,17.9979467098654
361,Zbożowy Rynek,53.1196484320733,18.0038792085862
362,Czyżkówko,53.1443649907306,17.9494137892091
363,Deszczowa - Wichrowa,53.1485598822243,17.9506886653276
365,Plac Poznański,53.1227504439518,17.9867548746964
366,Deszczowa - Wiejska,53.1500855398222,17.9569711203465
367,Deszczowa - Wichrowa,53.148474460856,17.9501443265401
368,Szubińska - Piękna,53.1195382360197,17.9796560457508
369,Rondo Ossolińskich,53.1260815785908,18.0176038995594
370,Plac Weyssenhoffa,53.1290861290305,18.0154373133694
